TIME,DEPTH
3.59,20.1775
3.6,20.1775
3.61,20.1775
3.62,20.1583
3.63,20.1583
3.64,20.1583
3.65,20.1583
3.66,20.1583
3.67,20.1583
3.68,20.1583
3.69,20.1583
3.7,20.1583
3.71,20.1583
3.72,20.1382
3.73,20.1382
3.74,20.1382
3.75,20.1382
3.76,20.1382
3.77,20.1382
3.78,20.1382
3.79,20.1382
3.8,20.1382
3.81,20.1382
3.82,20.1172
3.83,20.1172
3.84,20.1172
3.85,20.1172
3.86,20.1172
3.87,20.1172
3.88,20.1172
3.89,20.1172
3.9,20.1172
3.91,20.1172
3.92,20.0954
3.93,20.0954
3.94,20.0954
3.95,20.0954
3.96,20.0954
3.97,20.0954
3.98,20.0954
3.99,20.0954
4,20.0954
4.01,20.0954
4.02,20.0728
4.03,20.0728
4.04,20.0728
4.05,20.0728
4.06,20.0728
4.07,20.0728
4.08,20.0728
4.09,20.0728
4.1,20.0728
4.11,20.0728
4.12,20.0494
4.13,20.0494
4.14,20.0494
4.15,20.0494
4.16,20.0494
4.17,20.0494
4.18,20.0494
4.19,20.0494
4.2,20.0494
4.21,20.0494
4.22,20.0251
4.23,20.0251
4.24,20.0251
4.25,20.0251
4.26,20.0251
4.27,20.0251
4.28,20.0251
4.29,20.0251
4.3,20.0251
4.31,20.0251
4.32,20.0001
4.33,20.0001
4.34,20.0001
4.35,20.0001
4.36,20.0001
4.37001,20.0001
4.38001,20.0001
4.39001,20.0001
4.40001,20.0001
4.41001,20.0001
4.42001,19.9744
4.43001,19.9744
4.44001,19.9744
4.45001,19.9744
4.46001,19.9744
4.47001,19.9744
4.48001,19.9744
4.49001,19.9744
4.50001,19.9744
4.51001,19.9744
4.52001,19.948
4.53001,19.948
4.54001,19.948
4.55001,19.948
4.56001,19.948
4.57001,19.948
4.58001,19.948
4.59001,19.948
4.60001,19.948
4.61001,19.948
4.62001,19.9208
4.63001,19.9208
4.64001,19.9208
4.65001,19.9208
4.66001,19.9208
4.67001,19.9208
4.68001,19.9208
4.69001,19.9208
4.70001,19.9208
4.71001,19.9208
4.72001,19.893
4.73001,19.893
4.74001,19.893
4.75001,19.893
4.76001,19.893
4.77001,19.893
4.78001,19.893
4.79001,19.893
4.80001,19.893
4.81002,19.893
4.82002,19.8645
4.83002,19.8645
4.84002,19.8645
4.85002,19.8645
4.86002,19.8645
4.87002,19.8645
4.88002,19.8645
4.89002,19.8645
4.90002,19.8645
4.91002,19.8645
4.92002,19.8353
4.93002,19.8353
4.94002,19.8353
4.95002,19.8353
4.96002,19.8353
4.97002,19.8353
4.98002,19.8353
4.99002,19.8353
5.00002,19.8353
5.01002,19.8353
5.02002,19.8056
5.03002,19.8056
5.04002,19.8056
5.05002,19.8056
5.06002,19.8056
5.07002,19.8056
5.08002,19.8056
5.09002,19.8056
5.10002,19.8056
5.11002,19.8056
5.12002,19.7752
5.13002,19.7752
5.14002,19.7752
5.15002,19.7752
5.16002,19.7752
5.17002,19.7752
5.18002,19.7752
5.19002,19.7752
5.20002,19.7752
5.21002,19.7752
5.22002,19.7442
5.23002,19.7442
5.24003,19.7442
5.25003,19.7442
5.26003,19.7442
5.27003,19.7442
5.28003,19.7442
5.29003,19.7442
5.30003,19.7442
5.31003,19.7442
5.32003,19.7127
5.33003,19.7127
5.34003,19.7127
5.35003,19.7127
5.36003,19.7127
5.37003,19.7127
5.38003,19.7127
5.39003,19.7127
5.40003,19.7127
5.41003,19.7127
5.42003,19.7127
5.43003,19.6806
5.44003,19.6806
5.45003,19.6806
5.46003,19.6806
5.47003,19.6806
5.48003,19.6806
5.49003,19.6806
5.50003,19.6806
5.51003,19.6806
5.52003,19.648
5.53003,19.648
5.54003,19.648
5.55003,19.648
5.56003,19.648
5.57003,19.648
5.58003,19.648
5.59003,19.648
5.60003,19.648
5.61003,19.648
5.62003,19.6148
5.63003,19.6148
5.64003,19.6148
5.65003,19.6148
5.66003,19.6148
5.67003,19.6148
5.68004,19.6148
5.69004,19.6148
5.70004,19.6148
5.71004,19.6148
5.72004,19.581
5.73004,19.581
5.74004,19.581
5.75004,19.581
5.76004,19.581
5.77004,19.581
5.78004,19.581
5.79004,19.581
5.80004,19.581
5.81004,19.581
5.82004,19.5468
5.83004,19.5468
5.84004,19.5468
5.85004,19.5468
5.86004,19.5468
5.87004,19.5468
5.88004,19.5468
5.89004,19.5468
5.90004,19.5468
5.91004,19.5468
5.92004,19.5121
5.93004,19.5121
5.94004,19.5121
5.95004,19.5121
5.96004,19.5121
5.97004,19.5121
5.98004,19.5121
5.99004,19.5121
6.00004,19.5121
6.01004,19.5121
6.02004,19.4769
6.03004,19.4769
6.04004,19.4769
6.05004,19.4769
6.06004,19.4769
6.07004,19.4769
6.08004,19.4769
6.09004,19.4769
6.10004,19.4769
6.11004,19.4769
6.12005,19.4411
6.13005,19.4411
6.14005,19.4411
6.15005,19.4411
6.16005,19.4411
6.17005,19.4411
6.18005,19.4411
6.19005,19.4411
6.20005,19.4411
6.21005,19.4411
6.22005,19.4049
6.23005,19.4049
6.24005,19.4049
6.25005,19.4049
6.26005,19.4049
6.27005,19.4049
6.28005,19.4049
6.29005,19.4049
6.30005,19.4049
6.31005,19.4049
6.32005,19.3683
6.33005,19.3683
6.34005,19.3683
6.35005,19.3683
6.36005,19.3683
6.37005,19.3683
6.38005,19.3683
6.39005,19.3683
6.40005,19.3683
6.41005,19.3683
6.42005,19.3312
6.43005,19.3312
6.44005,19.3312
6.45005,19.3312
6.46005,19.3312
6.47005,19.3312
6.48005,19.3312
6.49005,19.3312
6.50005,19.3312
6.51005,19.3312
6.52005,19.2936
6.53005,19.2936
6.54005,19.2936
6.55006,19.2936
6.56006,19.2936
6.57006,19.2936
6.58006,19.2936
6.59006,19.2936
6.60006,19.2936
6.61006,19.2936
6.62006,19.2556
6.63006,19.2556
6.64006,19.2556
6.65006,19.2556
6.66006,19.2556
6.67006,19.2556
6.68006,19.2556
6.69006,19.2556
6.70006,19.2556
6.71006,19.2556
6.72006,19.2172
6.73006,19.2172
6.74006,19.2172
6.75006,19.2172
6.76006,19.2172
6.77006,19.2172
6.78006,19.2172
6.79006,19.2172
6.80006,19.2172
6.81006,19.2172
6.82006,19.1783
6.83006,19.1783
6.84006,19.1783
6.85006,19.1783
6.86006,19.1783
6.87006,19.1783
6.88006,19.1783
6.89006,19.1783
6.90006,19.1783
6.91006,19.1783
6.92006,19.139
6.93006,19.139
6.94006,19.139
6.95006,19.139
6.96006,19.139
6.97006,19.139
6.98006,19.139
6.99007,19.139
7.00007,19.139
7.01007,19.139
7.02007,19.0993
7.03007,19.0993
7.04007,19.0993
7.05007,19.0993
7.06007,19.0993
7.07007,19.0993
7.08007,19.0993
7.09007,19.0993
7.10007,19.0993
7.11007,19.0993
7.12007,19.0591
7.13007,19.0591
7.14007,19.0591
7.15007,19.0591
7.16007,19.0591
7.17007,19.0591
7.18007,19.0591
7.19007,19.0591
7.20007,19.0591
7.21007,19.0591
7.22007,19.0186
7.23007,19.0186
7.24007,19.0186
7.25007,19.0186
7.26007,19.0186
7.27007,19.0186
7.28007,19.0186
7.29007,19.0186
7.30007,19.0186
7.31007,19.0186
7.32007,18.9777
7.33007,18.9777
7.34007,18.9777
7.35007,18.9777
7.36007,18.9777
7.37007,18.9777
7.38007,18.9777
7.39007,18.9777
7.40007,18.9777
7.41007,18.9777
7.42007,18.9364
7.43008,18.9364
7.44008,18.9364
7.45008,18.9364
7.46008,18.9364
7.47008,18.9364
7.48008,18.9364
7.49008,18.9364
7.50008,18.9364
7.51008,18.9364
7.52008,18.8947
7.53008,18.8947
7.54008,18.8947
7.55008,18.8947
7.56008,18.8947
7.57008,18.8947
7.58008,18.8947
7.59008,18.8947
7.60008,18.8947
7.61008,18.8947
7.62008,18.8526
7.63008,18.8526
7.64008,18.8526
7.65008,18.8526
7.66008,18.8526
7.67008,18.8526
7.68008,18.8526
7.69008,18.8526
7.70008,18.8526
7.71008,18.8526
7.72008,18.8102
7.73008,18.8102
7.74008,18.8102
7.75008,18.8102
7.76008,18.8102
7.77008,18.8102
7.78008,18.8102
7.79008,18.8102
7.80008,18.8102
7.81008,18.8102
7.82008,18.8102
7.83008,18.7674
7.84008,18.7674
7.85008,18.7674
7.86009,18.7674
7.87009,18.7674
7.88009,18.7674
7.89009,18.7674
7.90009,18.7674
7.91009,18.7674
7.92009,18.7242
7.93009,18.7242
7.94009,18.7242
7.95009,18.7242
7.96009,18.7242
7.97009,18.7242
7.98009,18.7242
7.99009,18.7242
8.00009,18.7242
8.01009,18.7242
8.02009,18.6807
8.03009,18.6807
8.04009,18.6807
8.05009,18.6807
8.06009,18.6807
8.07009,18.6807
8.08009,18.6807
8.09009,18.6807
8.10009,18.6807
8.11009,18.6807
8.12009,18.6369
8.13009,18.6369
8.14009,18.6369
8.15009,18.6369
8.16009,18.6369
8.17009,18.6369
8.18009,18.6369
8.19009,18.6369
8.20009,18.6369
8.21009,18.6369
8.22009,18.5927
8.23009,18.5927
8.24009,18.5927
8.25009,18.5927
8.26009,18.5927
8.27009,18.5927
8.28009,18.5927
8.29009,18.5927
8.30009,18.5927
8.31009,18.5927
8.3201,18.5482
8.3301,18.5482
8.3401,18.5482
8.3501,18.5482
8.3601,18.5482
8.3701,18.5482
8.3801,18.5482
8.3901,18.5482
8.4001,18.5482
8.4101,18.5482
8.4201,18.5034
8.4301,18.5034
8.4401,18.5034
8.4501,18.5034
8.4601,18.5034
8.4701,18.5034
8.4801,18.5034
8.4901,18.5034
8.5001,18.5034
8.5101,18.5034
8.5201,18.4583
8.5301,18.4583
8.5401,18.4583
8.5501,18.4583
8.5601,18.4583
8.5701,18.4583
8.5801,18.4583
8.5901,18.4583
8.6001,18.4583
8.6101,18.4583
8.6201,18.4128
8.6301,18.4128
8.6401,18.4128
8.6501,18.4128
8.6601,18.4128
8.6701,18.4128
8.6801,18.4128
8.6901,18.4128
8.7001,18.4128
8.7101,18.4128
8.7201,18.3671
8.7301,18.3671
8.7401,18.3671
8.7501,18.3671
8.76011,18.3671
8.77011,18.3671
8.78011,18.3671
8.79011,18.3671
8.80011,18.3671
8.81011,18.3671
8.82011,18.3211
8.83011,18.3211
8.84011,18.3211
8.85011,18.3211
8.86011,18.3211
8.87011,18.3211
8.88011,18.3211
8.89011,18.3211
8.90011,18.3211
8.91011,18.3211
8.92011,18.3211
8.93011,18.2748
8.94011,18.2748
8.95011,18.2748
8.96011,18.2748
8.97011,18.2748
8.98011,18.2748
8.99011,18.2748
9.00011,18.2748
9.01011,18.2748
9.02011,18.2283
9.03011,18.2283
9.04011,18.2283
9.05011,18.2283
9.06011,18.2283
9.07011,18.2283
9.08011,18.2283
9.09011,18.2283
9.10011,18.2283
9.11011,18.2283
9.12011,18.1814
9.13011,18.1814
9.14011,18.1814
9.15011,18.1814
9.16011,18.1814
9.17011,18.1814
9.18011,18.1814
9.19011,18.1814
9.20012,18.1814
9.21012,18.1814
9.22012,18.1343
9.23012,18.1343
9.24012,18.1343
9.25012,18.1343
9.26012,18.1343
9.27012,18.1343
9.28012,18.1343
9.29012,18.1343
9.30012,18.1343
9.31012,18.1343
9.32012,18.087
9.33012,18.087
9.34012,18.087
9.35012,18.087
9.36012,18.087
9.37012,18.087
9.38012,18.087
9.39012,18.087
9.40012,18.087
9.41012,18.087
9.42012,18.0394
9.43012,18.0394
9.44012,18.0394
9.45012,18.0394
9.46012,18.0394
9.47012,18.0394
9.48012,18.0394
9.49012,18.0394
9.50012,18.0394
9.51012,18.0394
9.52012,17.9916
9.53012,17.9916
9.54012,17.9916
9.55012,17.9916
9.56012,17.9916
9.57012,17.9916
9.58012,17.9916
9.59012,17.9916
9.60012,17.9916
